TermTitle,TermDefinition,ReportTitle,document_id
Faculty,"Faculty at the University of Washington are Professors, Lecturers, Artists in Residence, Professors of Practice, Instructors, Teaching Associates, and Research Associates, in all titles, tracks, and ranks as described in the Faculty Code Section 21-31 and Faculty Code Section 24-34 Subsection B. This population is distinct from librarians, medical residents, senior fellows, and senior fellow trainees. The Faculty Code and any revisions to it that may occur in the future shall serve as the authoritative definition of this term.",Building Summary by Primary Use,120
Campus::Academic Quarter::Academic Year,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.",Campus Application Counts Comparison,142
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Cashier Activity Report - Payments Received,93
Minor::Pending Major::Disability::Veteran::Registered Student::Major::Permanent Address::Academic Year::Academic Quarter::Enrollment Status::Campus::College::Department::Curriculum::Course Number::Course Section::Student Class::Resident::Student Ethnicity::Family Educational Rights and Privacy Act::Student Number::Student Name::Preferred Name::UW Student Email Address::Student Birth Date::Student: Visa Type::Schedule Line Number::International Student::Faculty::Academic Credit::Major Requested::Local Address,"A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.::Pending major describes the major that will become effective for a student for the quarter specified.::According to UW Policy, a disability is a physical or mental impairment that substantially limits one or more major life activities. Major life activities related to education include, but are not limited to: walking, sleeping, eating, learning, reading, writing, processing, hearing, etc.::An individual who has served in the United States Armed Forces.::A student is registered on a given day in a given Academic Quarter if that student has one or more active Student Course Registrations for that day. For the sake of clarity, note that a student is no longer considered registered when that student drops all courses or withdraws from the university.::A major is a specific field of study into which a student matriculates.::The permanent address is a postal-recognized location (NOT a PO Box) which an applicant, student, or former student identifies as their permanent address on their application. It should be the same as a parent or legal guardian address if they are a dependent. It could be the same as their ""local"" address. If they are not a dependent, it could be the same as the local; address or simply the students permanent home base for legal purposes. If they are an international student, the permanent address cannot be a U.S. address. (See Usage section below for more information from ISS.)::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Enrollment Status denotes a student's most recent relationship to registration for a given quarter in which the student has had course registration within that quarter.::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::An academic discipline or body of knowledge, e.g.biology, astronomy, linguistics, or music. Curriculum abbreviations or codes are commonly used as part of a course identifier to classify course offerings according to their academic discipline. For example, the course BIOL 101 belongs to the Biology curriculum.::Course Number is a 3-digit number used in conjunction with a Curriculum code toidentify a specific course. For Example: DXARTS 452 refers to the course""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Artsand Experimental Media"" (DXARTS) Curriculum.::Course instruction is providedin Course Sections. Students who wish toenroll ina given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.::Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.  At the Undergraduate Level, Student Class distinguishes between:    Freshmen (students who accumulated 0 to 44.5 Academic Credits)  Sophomores(students who accumulated45 to 89.5Academic Credits)  Juniors(students who accumulated 90 to 134.5Academic Credits)  Seniors (students who accumulated more than 135 Academic Credits)  Non-matriculated students (those not pursuing a Baccalaureate degree)  Visitors (those pursuing a Baccalaureate degree at another institution)    At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.  At the Graduate level, Student Class distinguishes between:    Master students  Educational specialist students  Doctoral students  Practice doctorate students  Graduate non-matriculated students  Visiting students    Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.::A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020::Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.::The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.::Student Number is a unique, numerical student identifier issued during the admission process.::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo::A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.::The date of birth of the student in the format of four digit year, month, and day.::Student: Visa Type is the information provided by a student or applicant about their current or intended U.S. immigration status. This term Student: Visa Type is different from, but includes the same values as, the Student Visa types of F1, J1, M1. The visa type can change over time; students may apply for admission with one type, begin enrollment, and have it changed to a new type. SDB does not store historic Visa Type information.::This number uniquely identifies each Course Section in the Time Schedule for a given Academic Quarter.::?An individual who is not a citizen or permanent resident of the U.S. and is enrolled in one or more courses at the UW.::Faculty members are persons paid for instructional, research, and service activities. They are identified by an ECS Code (also known as Employee Type) of F and a Job Classification Code that indicates participation in one or more of the above-mentioned activities.::Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp::Applicants for matriculated status may indicate their intended major of interest at the time of application.::Local Address is a postal-recognized location of a student and is used when the student is actively attending classes at the UW.",Class List By Curriculum Course Section,23
Organization Code,"The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",College Space Data by Facility,122
Organization Code Dean Level::Organization Code,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",College Space Data by OrgCode,121
College::Campus,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Comparison of SDB & PNB Organization Hierarchies,76
Organization Code Dean Level::Organization Code,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Consolidated Budget Status Report Menu,45
Unmet Course Section Request::Family Educational Rights and Privacy Act::Permanent Address::Local Address::Student Phone Number::External Email::UW Student Email Address::Major::Preferred Name::Student Name::Student Number::Course Number::Course::Curriculum::Academic Quarter::Academic Year,"Unmet Course Section Request indicates that a student was denied registration entry into the course section due to space availability and was not ever able to add that section or any other section of the same course (yr, qtr, branch, abbr, course no).::The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.::The permanent address is a postal-recognized location (NOT a PO Box) which an applicant, student, or former student identifies as their permanent address on their application. It should be the same as a parent or legal guardian address if they are a dependent. It could be the same as their ""local"" address. If they are not a dependent, it could be the same as the local; address or simply the students permanent home base for legal purposes. If they are an international student, the permanent address cannot be a U.S. address. (See Usage section below for more information from ISS.)::Local Address is a postal-recognized location of a student and is used when the student is actively attending classes at the UW.::A phone number chosen by the student as the self-reported means to be contacted::A student external email consists of a user alias and any number of non-UW affiliated domains separated by an ""@"". This is different from the UW Student Email Address which uses the UW domain, @uw.edu.::A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.::A major is a specific field of study into which a student matriculates.::Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Student Number is a unique, numerical student identifier issued during the admission process.::Course Number is a 3-digit number used in conjunction with a Curriculum code toidentify a specific course. For Example: DXARTS 452 refers to the course""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Artsand Experimental Media"" (DXARTS) Curriculum.::The Course is the principal vehicle for delivering education to students at the university and is organized around a specific topic of study. Courses are described and defined in the Course Catalog. At the University of Washington, each course is identified by a combination of course campus, Curriculum, and number. In order to be open for student registration, the course must first be approved by the University's curriculum committee. Students who wish to enroll in a given Course do so by registering for a Course Section displayed in the Time Schedule.::An academic discipline or body of knowledge, e.g.biology, astronomy, linguistics, or music. Curriculum abbreviations or codes are commonly used as part of a course identifier to classify course offerings according to their academic discipline. For example, the course BIOL 101 belongs to the Biology curriculum.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.",Contact Information - Unmet Requests,11
Organization Code::Organization Code Dean Level::Cost Share Commitment Description::Sponsored Award::Revenue Source::Total Period End Date::Total Period Begin Date::Balance Percent::Total Contributions Percent::Total Commitments Percent::Cost Share Committed Effort Percent::Total Dollar Balance::Total Dollar Contributions::Total Dollar Commitments::Cost Share Percent Commitment::Cost Share Dollar Commitment::Account Code::Voluntary Cost Share::Mandatory Cost Share::Days to Total Period End Date::Budget Number::Award Principal Investigator::Organization Code Sub-Division Level::Organization Code Department Level::Organization Code Major Area Level::Cost Share Contributions::Cost Share Commitments::Cost Share,"The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The description of the Cost Share Commitment entered into the Cost Share Summary (EFECS) system.::The formal documentation between the University and an external entity that memorializes the exchange transaction for a specific scope of work.::A 2-digit code following Revenue Class. Defines a specific source of revenue. Code used to define specific sources of revenue. X(2) Code used to define specific sources of revenue. Source codes have meaning within the University only. Certain source codes are valid within specific revenue classes; for other revenue classes, all source codes are valid. As defined by the FAS Data Base, Revenue Source Code is the last two digits of the Account Code (5th and 6th digits). See also the description for data element Revenue Class. REMARKS: ACCT-CODE-INDEX (03 Index) of FAS Data Base. FAS report AM17009-03 describes Revenue Class.::Ending date for the life of a grant or contract. X(08) Total Period Ending Date indicates ending date for the life of a grant or contract. DASDL Format: CCYYMMDD::Beginning date for the life of a grant or contract. X(08) Total Period Beginning Date indicates the beginning date for the life of a grant or contract. DASDL Format: CCYYMMDD::The Total Commitments Percent less that Total Contributions Percent for each Commitment Description on a Sponsored Award.::The total of the Percent Contributions based on each Commitment Description on a Sponsored Award.::The total of the Percent Commitments based on each Commitment Description on a Sponsored Award.::The percentage of a faculty's effort committed as Cost Share on the Sponsored Award::The Total Dollar Commitments less the Total Dollar Contributions for each Commitment Description on a Sponsored Award.::The total of the Dollar Contributions based on each Commitment Description on a Sponsored Award.::The total of the Dollar Commitments based on each Commitment Description on a Sponsored Award.::A Cost Share Commitment that is calculated based on a percentage of a faculty's effort.::A Cost Share Commitment that is calculated based on a dollar value.::Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. The Financial Accounting office maintains an Object Code table available on the web at http://www.washington.edu/admin/finacct/obcodes::Cost Share that is volunteered in a proposal submission.::Cost Share that is required by the Sponsor.::The number of days until the Total Period End Date on a Sponsored Award.::A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.::The&nbsp::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo::The expense identified as being used to meet a Cost Share Commitment.::The documented amount of the Cost Share to be provided on a Sponsored Award.::A commitment made by the UW to use non-Award resources to complete the Award's objectives. Cost Share must be documented and supported in the UW's official records.",Cost Share Commitments and Contributions,159
