TermTitle,TermDefinition,ReportTitle
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Gift Balance Detail by Spending Restriction and OrgCode
Budget Number,A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.,Gift Balance Detail by Spending Restriction and OrgCode
Gift,"<p>The voluntary contribution of external support to the University, without any requirement for receipt of any economic or other tangible benefit in return beyond what any general member of the public would receive. The intent must be philanthropic or charitable where the primary beneficiary is the general public and not the donor. Gifts are handled by the UW Advancement Office.</p>",Gift Balance Detail by Spending Restriction and OrgCode
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Gift Balance Summary by Spending Restriction
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Gift Balance Summary by Spending Restriction
Gift,"<p>The voluntary contribution of external support to the University, without any requirement for receipt of any economic or other tangible benefit in return beyond what any general member of the public would receive. The intent must be philanthropic or charitable where the primary beneficiary is the general public and not the donor. Gifts are handled by the UW Advancement Office.</p>",Gift Balance Summary by Spending Restriction
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Grant and Contract Budget Status Report
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Grant and Contract Budget Status Report
Principal Investigator,"The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.",Grant and Contract Certification Report
Budget Number,A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.,Grant and Contract Certification Report
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Grant and Contract Certification Report
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Grant and Contract Certification Report
Project Cost Accounting Code,"PCA Codes allow for the use of Project, Task, and Option codes on financial transactions. These codes are additional reporting elements for salary and any other transactions the UW tracks in our finance system. Will be used as a part of cost allocations. Available for one time cost overrides in time tracking and payroll input.",Grant and Contract Certification Report
Academic Appointment,"An academic appointment captures information about an academic's relationship with the UW. Information such as appointing unit, track, rank, and tenure percent (if applicable) is included in an appointment. All members of academic personnel (as defined in Administrative Policy Statement 40.1) will have an academic appointment in Workday.",Grant and Contract Certification Report
Worker Position,"Worker position contains data that is specific to a person in a given position such as the start date, pay components, title, and FTE percentage.",Grant and Contract Certification Report
Fiscal Year,,Grant and Contract Certification Report
Sponsor Name,The official name of any funding agency external to the university who funds university research activities.,Grant and Contract Deficit Report
Grant/Contract Number,Group name of the set of fields that identify a Grant and Contract Number. This number's format is based upon the grant sponsor.,Grant and Contract Deficit Report
Principal Investigator,"The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.",Grant and Contract Deficit Report
Budget Number,A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.,Grant and Contract Deficit Report
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Grant and Contract Deficit Report
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Grant and Contract Deficit Report
Grant and Contract Number,Sponsor-assigned number used to identify a particular grant or contract.,Grant and Gift Budgets Unassigned to Space
Principal Investigator,"The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.",Grant and Gift Budgets Unassigned to Space
Budget Number,A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.,Grant and Gift Budgets Unassigned to Space
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Grant and Gift Budgets Unassigned to Space
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Grant and Gift Budgets Unassigned to Space
Gift,"<p>The voluntary contribution of external support to the University, without any requirement for receipt of any economic or other tangible benefit in return beyond what any general member of the public would receive. The intent must be philanthropic or charitable where the primary beneficiary is the general public and not the donor. Gifts are handled by the UW Advancement Office.</p>",Grant and Gift Budgets Unassigned to Space
Fee-based,"<p>A program or course registration for which students are charged ""fees"" rather than tuition governed by the State Legislature and the Revised Code of Washington (RCW). (Contrast with Tuition-based.)</p>",How Many Credit Hours Are Being Taught
Tuition-based,"<p>A tuition-based program or course registration is one for which a student is charged tuition. In contrast, students are charged ""fees"" rather than tuition for Fee-based programs and their courses. Tuition is governed by a combination of the Revised Code of Washington (RCW 28B.15.020) and the annual budget bill passed by the State Legislature.</p>",How Many Credit Hours Are Being Taught
Student Credit Hours,"<p>For enrollment purposes, Student Credit Hours represents the sum of Academic Credits associated with students' active course registrations (see Student Course Registration).</p>",How Many Credit Hours Are Being Taught
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,How Many Credit Hours Are Being Taught
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",How Many Credit Hours Are Being Taught
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",How Many Credit Hours Are Being Taught
Credential,"<p>An academic credential is a degree, certification, or other documentation conferred by the university as an indication of the completion of one or more courses of study.</p>",How Many Degrees Have I Granted
Degree,"Formal award at the Bachelor's,&nbsp;Master's, Doctoral or Professional&nbsp;level conferred by the&nbsp;University&nbsp;as official recognition for the successful completion of a program of study.",How Many Degrees Have I Granted
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",How Many Degrees Have I Granted
Professional Student,A Matriculated Student pursuing a Professional Degree.,How Many Students By Campus
Graduate Student,"<p>Any student admitted by the Graduate School for the purpose of pursuing graduate-level coursework, regardless of whether the student matriculates into a degree program.</p>",How Many Students By Campus
Undergraduate Student,"<p>Students can be either Undergraduate, Post-Baccalaureate, Graduate or Professional, as indicated by their Student&nbsp;Level. Undergraduate students are those who have not yet received a Bachelor's degree. This category includes students whose Student Class is Freshman, Sophomore, Junior or Senior, as well as undergraduate Non-matriculated and Visiting Students.</p>",How Many Students By Campus
"Unduplicated, Distributed Headcount","<p>Unduplicated, distributed headcount allocates a percentage of the student to each unit (school, college, campus, or department) that sponsors the major, as agreed by all involved. Contrast with Student Major Count.</p>",How Many Students By Campus
Academic Census Day,The last business day of the second week of the academic quarter.,How Many Students By Campus
UW Student,"<p>A person who has received, or is eligible to receive, instruction from the University of Washington.</p>",How Many Students By Campus
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",How Many Students By Campus
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",How Many Students By Campus
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",How Many Students By Campus
Non-Matriculated Student,<p>A student who is enrolled at the University of Washington but does not qualify as a Matriculated Student is a Non-matriculated Student.</p>,How Many Students By College
Graduate Student,"<p>Any student admitted by the Graduate School for the purpose of pursuing graduate-level coursework, regardless of whether the student matriculates into a degree program.</p>",How Many Students By College
Undergraduate Student,"<p>Students can be either Undergraduate, Post-Baccalaureate, Graduate or Professional, as indicated by their Student&nbsp;Level. Undergraduate students are those who have not yet received a Bachelor's degree. This category includes students whose Student Class is Freshman, Sophomore, Junior or Senior, as well as undergraduate Non-matriculated and Visiting Students.</p>",How Many Students By College
"Unduplicated, Distributed Headcount","<p>Unduplicated, distributed headcount allocates a percentage of the student to each unit (school, college, campus, or department) that sponsors the major, as agreed by all involved. Contrast with Student Major Count.</p>",How Many Students By College
Academic Census Day,The last business day of the second week of the academic quarter.,How Many Students By College
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",How Many Students By College
UW Student,"<p>A person who has received, or is eligible to receive, instruction from the University of Washington.</p>",How Many Students By College
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",How Many Students By College
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",How Many Students By College
Program of Study,"<p>A prescribed grouping of learning units such as courses, activities, competencies, learning objectives, and/or institutional/core requirements that are intended to facilitate the understanding of a particular body of knowledge. Programs may also include requirements as to the order, timing, performance, and results (e.g. GPA) of the grouping of learning units that make up a program. The end result of a completed program is an acknowledged level of accomplishment or a credential (e.g. certificate, degree, minor).</p>",How Many Students By Department
Major,<p>A major is a specific field of study into which a student matriculates.</p>,How Many Students By Department
"Unduplicated, Distributed Headcount","<p>Unduplicated, distributed headcount allocates a percentage of the student to each unit (school, college, campus, or department) that sponsors the major, as agreed by all involved. Contrast with Student Major Count.</p>",How Many Students By Department
Non-Matriculated Student,<p>A student who is enrolled at the University of Washington but does not qualify as a Matriculated Student is a Non-matriculated Student.</p>,How Many Students By Department
Graduate Student,"<p>Any student admitted by the Graduate School for the purpose of pursuing graduate-level coursework, regardless of whether the student matriculates into a degree program.</p>",How Many Students By Department
Undergraduate Student,"<p>Students can be either Undergraduate, Post-Baccalaureate, Graduate or Professional, as indicated by their Student&nbsp;Level. Undergraduate students are those who have not yet received a Bachelor's degree. This category includes students whose Student Class is Freshman, Sophomore, Junior or Senior, as well as undergraduate Non-matriculated and Visiting Students.</p>",How Many Students By Department
Academic Census Day,The last business day of the second week of the academic quarter.,How Many Students By Department
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,How Many Students By Department
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",How Many Students By Department
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",How Many Students By Department
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",How Many Students By Department
Undergraduate Student,"<p>Students can be either Undergraduate, Post-Baccalaureate, Graduate or Professional, as indicated by their Student&nbsp;Level. Undergraduate students are those who have not yet received a Bachelor's degree. This category includes students whose Student Class is Freshman, Sophomore, Junior or Senior, as well as undergraduate Non-matriculated and Visiting Students.</p>",How Many Students List
Graduate Student,"<p>Any student admitted by the Graduate School for the purpose of pursuing graduate-level coursework, regardless of whether the student matriculates into a degree program.</p>",How Many Students List
Program of Study,"<p>A prescribed grouping of learning units such as courses, activities, competencies, learning objectives, and/or institutional/core requirements that are intended to facilitate the understanding of a particular body of knowledge. Programs may also include requirements as to the order, timing, performance, and results (e.g. GPA) of the grouping of learning units that make up a program. The end result of a completed program is an acknowledged level of accomplishment or a credential (e.g. certificate, degree, minor).</p>",How Many Students List
Major,<p>A major is a specific field of study into which a student matriculates.</p>,How Many Students List
Academic Census Day,The last business day of the second week of the academic quarter.,How Many Students List
Enrolled Student,"A student is considered enrolled if that student is a Registered Student on a particular day of reference. The most common day of reference is Academic Census Day, though first day of quarter, end of quarter and end of academic year may also be used.",How Many Students List
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",How Many Students List
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",How Many Students List
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",How Many Students List
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,How Many Students List
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",How Many Students List
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",How Many Students List
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",How Many Students List
Academic Census Day,The last business day of the second week of the academic quarter.,How Many Students at the University
"Unduplicated, Distributed Headcount","<p>Unduplicated, distributed headcount allocates a percentage of the student to each unit (school, college, campus, or department) that sponsors the major, as agreed by all involved. Contrast with Student Major Count.</p>",How Many Students at the University
UW Student,"<p>A person who has received, or is eligible to receive, instruction from the University of Washington.</p>",How Many Students at the University
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",How Many Students at the University
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",How Many Students at the University
Student Major,"<p>Student major refers to the enrollment of a student in a major. Since students can be enrolled in more than one major in a given term, it is sometimes insufficient to simply count the students enrolled in a given academic unit. Rather, we count how many majors the students are enrolled in during that term: the number of Student Majors.</p>",Immunization Report
Advising Type,Advising Type is the type of advising session the student will or did attend.,Immunization Report
Advising Date,The date assigned for a student to attend new student orientation.<br>,Immunization Report
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Immunization Report
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Immunization Report
Student Phone Number,<p>A phone number chosen by the student as the self-reported means to be contacted</p>,Immunization Report
External Email,"<p>A student external email consists of a user alias and any number of non-UW affiliated domains separated by an ""@"". This is different from the UW Student Email Address which uses the UW domain, @uw.edu.</p>",Immunization Report
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Immunization Report
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Immunization Report
Student Birth Date,"The date of birth of the student in the format of four digit year, month, and day.",Immunization Report
Gender,<p>There are currently discussions at the UW to define this per national standards. A definition is forthcoming.</p>,Immunization Report
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Immunization Report
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Immunization Report
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",Immunization Report
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Immunization Report
Health Sciences Immunization Program,The Health Sciences Immunization Program (HSIP) ensures students enrolled in health sciences degrees requiring clinical or practicum training comply with immunization and tuberculosis screening requirements detailed in the University�s affiliation agreements.,Immunization Report
Student Cohort,"<p>Student Cohort refers to a group of students who experience the same event(s) or milestone(s) during a specified period of time. For example, a group of students may enter the university during a single quarter, or a group of students may graduate within an academic year, and these two groups would be considered specific student cohorts.</p>",Immunization Report
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Immunization Report
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Immunization Report
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Immunization Report
Student Immunization,"Student Immunization refers to any number of vaccinations required of a student enrolling at the University of Washington. For more information, see the UW Immunization Requirement: <a target=""_blank"" rel=""nofollow"" href=""http://immunity.washington.edu"">http://immunity.washington.edu</a>.",Immunization Report
Indirect Expense,"Indirect expense amounts are incurred for common or joint objectives and therefore cannot be identified readily and specifically with a particular sponsored project, program, or activity but are nevertheless necessary to the operations of the organization.",Indirect Cost Recovery Estimator
Budget Number,A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.,Indirect Cost Recovery Estimator
Principal Investigator,"The Principle Investigator is the person responsible for all expenditures placed on a budget, as well as for making sure that all conditions and requirements conditional to the funding of the budget are fulfilled. For grant and contract budgets this is generally the research scientists who applied for the funding.",Indirect Cost Recovery Estimator
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
